Address,Url,PriceLower,PriceUpper,PropertyType,NumBathrooms,NumBedrooms,NumCarSpaces,CityCode,Lat,Lng,H3Index
"9/23 Park Terrace, Gilberton",https://www.realestate.com.au/property-house-sa-gilberton-146404400,1250000,1250000,House,3,3,2,Adelaide,-34.90348236764043,138.61143573572357,87b916805ffffff
"9 Eleventh Avenue, St Peters",https://www.realestate.com.au/property-house-sa-st+peters-147161256,2450000,2450000,House,2,4,2,Adelaide,-34.89811998133425,138.620218942081,87b916800ffffff
"13 Harrow Road, St Peters",https://www.realestate.com.au/property-house-sa-st+peters-146551448,3000000,3300000,House,3,4,2,Adelaide,-34.90808988033081,138.61795945947844,87b916805ffffff
"64 Gilbert Street, Gilberton",https://www.realestate.com.au/property-house-sa-gilberton-146688360,1380000,1380000,House,2,3,4,Adelaide,-34.90180715730072,138.61240569526862,87b916805ffffff
"612/1 King William Street, Kent Town",https://www.realestate.com.au/property-apartment-sa-kent+town-147144292,880000,920000,Apartment,2,2,2,Adelaide,-34.919605211562846,138.61759373432744,87b916805ffffff
"76 Sydenham Road, Norwood",https://www.realestate.com.au/property-house-sa-norwood-147367452,870000,950000,House,1,2,0,Adelaide,-34.92597776391573,138.62790927814993,87b916823ffffff
"6 Short Street, Wayville",https://www.realestate.com.au/property-house-sa-wayville-147075136,1400000,1500000,House,1,3,3,Adelaide,-34.94444081374656,138.5907450592106,87b91682cffffff
"31 Ashford Road, Keswick",https://www.realestate.com.au/property-house-sa-keswick-145354520,900000,930000,House,2,3,2,Adelaide,-34.94391415074607,138.5771000394246,87b916828ffffff
"12 High St, Unley Park",https://www.realestate.com.au/property-house-sa-unley+park-146401364,3890000,3890000,House,2,4,2,Adelaide,-34.963994515781295,138.6054502483626,87b916952ffffff
"31/220 Greenhill Road, Eastwood",https://www.realestate.com.au/property-apartment-sa-eastwood-147000976,850000,850000,Apartment,2,2,1,Adelaide,-34.94033772054275,138.62029917347573,87b916823ffffff
"79-81 William Street, Norwood",https://www.realestate.com.au/property-retirement+living-sa-norwood-140268763,212000,212000,Retirement,1,1,0,Adelaide,-34.9241587,138.63343040278806,87b916823ffffff
"Lot 3 Boswell Place, Norwood",https://www.realestate.com.au/property-house-sa-norwood-147200352,2135000,2135000,House,2,5,2,Adelaide,-34.926456184723,138.63373434854844,87b916823ffffff
"79-81 William St, Norwood",https://www.realestate.com.au/property-retirement+living-sa-norwood-136786618,170000,170000,Retirement,1,1,0,Adelaide,-34.9241587,138.63343040278806,87b916823ffffff
"92B Osmond Terrace, Norwood",https://www.realestate.com.au/property-house-sa-norwood-146823588,4300000,4300000,House,1,4,2,Adelaide,-34.915653353118344,138.63158057411755,87b916804ffffff
"92c Osmond Tce, Norwood",https://www.realestate.com.au/property-house-sa-norwood-146829400,4300000,4300000,House,3,4,2,Adelaide,-34.915653353118344,138.63158057411755,87b916804ffffff
"10/9 Wakefield Street, Kent Town",https://www.realestate.com.au/property-unit-sa-kent+town-146816868,520000,520000,Unit,1,2,1,Adelaide,-34.92456836047554,138.62183853072162,87b916823ffffff
"3 Boswell Place, Norwood",https://www.realestate.com.au/property-house-sa-norwood-146722384,2283000,2283000,House,3,5,2,Adelaide,-34.926456184723,138.63373434854844,87b916823ffffff
"17-23 Grenfell St, Kent Town",https://www.realestate.com.au/property-retirement+living-sa-kent+town-140056559,369000,369000,Retirement,1,1,0,Adelaide,-34.920223580771165,138.62140789558725,87b916805ffffff
